"carat","cut","color","clarity","depth","table","price","x","y","z"
2,"Premium","J","I1",61.5,59,5051,8.11,8.06,4.97
2.06,"Premium","J","I1",61.2,58,5203,8.1,8.07,4.95
2.08,"Premium","H","I1",61.7,57,6150,8.23,8.18,5.06
2,"Premium","H","I1",59.7,62,6344,8.19,8.02,4.85
2.15,"Premium","H","I1",62.9,57,6357,8.25,8.2,5.18
2.03,"Premium","G","I1",61.1,58,6377,8.11,8.06,4.94
2.21,"Premium","H","I1",62.2,58,6535,8.31,8.27,5.16
2.3,"Premium","G","I1",60.2,59,7226,8.71,8.56,5.19
2.04,"Premium","I","I1",61.1,61,7403,8.25,8.12,5
2.03,"Premium","H","I1",59.4,59,7421,8.31,8.22,4.91
2.12,"Premium","G","I1",60,58,7508,8.39,8.28,4.99
3.01,"Premium","I","I1",62.7,58,8040,9.1,8.97,5.67
2.33,"Premium","H","I1",60.7,58,8220,8.64,8.56,5.22
2.04,"Premium","I","I1",59.3,61,8408,8.3,8.25,4.91
2.68,"Premium","G","I1",58.6,60,8419,9.11,9.07,5.33
2.5,"Premium","H","I1",59.9,60,8467,8.75,8.67,5.22
2.34,"Premium","I","I1",61.5,60,8491,8.47,8.43,5.2
2.02,"Premium","J","SI2",63,58,8640,8.07,8.02,5.07
2.17,"Premium","F","I1",60.7,59,9078,8.43,8.35,5.09
2,"Premium","J","VS1",63,58,9296,8.04,7.99,5.05
2.03,"Premium","J","SI2",60.4,59,9435,8.15,8.12,4.91
2.01,"Premium","I","SI2",62.5,60,9658,8.04,7.95,5
2.01,"Premium","I","SI2",62.1,60,9658,8.1,8.03,5.01
2.01,"Premium","I","SI2",63,59,9658,8.04,7.97,5.04
2.43,"Premium","G","I1",61.7,60,9716,8.54,8.49,5.25
2.04,"Premium","G","I1",62.4,58,9727,8.08,8.17,5.07
2.02,"Premium","J","SI2",59.7,56,9728,8.18,8.13,4.87
2.01,"Premium","J","SI1",61.7,60,9793,8.12,8.09,5
2.05,"Premium","I","SI2",62.1,59,9850,8.13,8.07,5.03
2.05,"Premium","I","SI2",62,58,9850,8.13,8.08,5.02
2.05,"Premium","I","SI2",62,58,9850,8.13,8.08,5.02
2.04,"Premium","G","I1",62.4,58,9905,8.17,8.08,5.07
3.01,"Premium","F","I1",62.2,56,9925,9.24,9.13,5.73
